Deep	Facts	Queries	Prcd	Name	Time	Hits
1	25	100	1	Simple	17	0
1	25	100	1	LRU	132	9
1	25	100	1	LIFO	5	0
1	25	100	10	Simple	5	0
1	25	100	10	LRU	5	47
1	25	100	10	LIFO	6	42
1	25	100	33	Simple	6	0
1	25	100	33	LRU	6	76
1	25	100	33	LIFO	4	76
1	25	500	5	Simple	20	0
1	25	500	5	LRU	23	103
1	25	500	5	LIFO	23	82
1	25	500	50	Simple	22	0
1	25	500	50	LRU	25	475
1	25	500	50	LIFO	24	475
1	25	500	166	Simple	22	0
1	25	500	166	LRU	25	475
1	25	500	166	LIFO	26	475
1	25	1000	10	Simple	42	0
1	25	1000	10	LRU	51	416
1	25	1000	10	LIFO	55	390
1	25	1000	100	Simple	46	0
1	25	1000	100	LRU	54	975
1	25	1000	100	LIFO	51	975
1	25	1000	333	Simple	42	0
1	25	1000	333	LRU	51	975
1	25	1000	333	LIFO	55	975
1	25	2500	25	Simple	125	0
1	25	2500	25	LRU	149	2475
1	25	2500	25	LIFO	153	2475
1	25	2500	250	Simple	129	0
1	25	2500	250	LRU	148	2475
1	25	2500	250	LIFO	152	2475
1	25	2500	833	Simple	133	0
1	25	2500	833	LRU	152	2475
1	25	2500	833	LIFO	161	2475
1	100	100	1	Simple	12	0
1	100	100	1	LRU	13	4
1	100	100	1	LIFO	13	2
1	100	100	10	Simple	13	0
1	100	100	10	LRU	14	10
1	100	100	10	LIFO	13	10
1	100	100	33	Simple	13	0
1	100	100	33	LRU	15	31
1	100	100	33	LIFO	14	31
1	100	500	5	Simple	65	0
1	100	500	5	LRU	68	26
1	100	500	5	LIFO	66	18
1	100	500	50	Simple	63	0
1	100	500	50	LRU	80	259
1	100	500	50	LIFO	75	258
1	100	500	166	Simple	67	0
1	100	500	166	LRU	83	402
1	100	500	166	LIFO	78	402
1	100	1000	10	Simple	129	0
1	100	1000	10	LRU	147	130
1	100	1000	10	LIFO	142	121
1	100	1000	100	Simple	129	0
1	100	1000	100	LRU	163	900
1	100	1000	100	LIFO	169	900
1	100	1000	333	Simple	134	0
1	100	1000	333	LRU	165	900
1	100	1000	333	LIFO	167	900
1	100	2500	25	Simple	355	0
1	100	2500	25	LRU	419	616
1	100	2500	25	LIFO	393	594
1	100	2500	250	Simple	357	0
1	100	2500	250	LRU	416	2400
1	100	2500	250	LIFO	418	2400
1	100	2500	833	Simple	349	0
1	100	2500	833	LRU	436	2400
1	100	2500	833	LIFO	433	2400
1	500	100	1	Simple	63	0
1	500	100	1	LRU	61	0
1	500	100	1	LIFO	60	0
1	500	100	10	Simple	62	0
1	500	100	10	LRU	60	2
1	500	100	10	LIFO	62	2
1	500	100	33	Simple	61	0
1	500	100	33	LRU	68	6
1	500	100	33	LIFO	66	5
1	500	500	5	Simple	297	0
1	500	500	5	LRU	308	7
1	500	500	5	LIFO	307	7
1	500	500	50	Simple	297	0
1	500	500	50	LRU	329	56
1	500	500	50	LIFO	321	56
1	500	500	166	Simple	303	0
1	500	500	166	LRU	369	131
1	500	500	166	LIFO	342	131
1	500	1000	10	Simple	605	0
1	500	1000	10	LRU	632	21
1	500	1000	10	LIFO	638	19
1	500	1000	100	Simple	607	0
1	500	1000	100	LRU	725	196
1	500	1000	100	LIFO	663	191
1	500	1000	333	Simple	618	0
1	500	1000	333	LRU	783	526
1	500	1000	333	LIFO	725	526
1	500	2500	25	Simple	1560	0
1	500	2500	25	LRU	1637	121
1	500	2500	25	LIFO	1603	117
1	500	2500	250	Simple	1558	0
1	500	2500	250	LRU	2001	1144
1	500	2500	250	LIFO	1851	1144
1	500	2500	833	Simple	1559	0
1	500	2500	833	LRU	1977	2002
1	500	2500	833	LIFO	1881	2002
1	1000	100	1	Simple	122	0
1	1000	100	1	LRU	124	0
1	1000	100	1	LIFO	127	0
1	1000	100	10	Simple	122	0
1	1000	100	10	LRU	124	0
1	1000	100	10	LIFO	122	0
1	1000	100	33	Simple	117	0
1	1000	100	33	LRU	123	3
1	1000	100	33	LIFO	118	3
1	1000	500	5	Simple	641	0
1	1000	500	5	LRU	614	1
1	1000	500	5	LIFO	615	1
1	1000	500	50	Simple	599	0
1	1000	500	50	LRU	628	26
1	1000	500	50	LIFO	620	26
1	1000	500	166	Simple	606	0
1	1000	500	166	LRU	678	70
1	1000	500	166	LIFO	636	70
1	1000	1000	10	Simple	1232	0
1	1000	1000	10	LRU	1262	12
1	1000	1000	10	LIFO	1213	10
1	1000	1000	100	Simple	1206	0
1	1000	1000	100	LRU	1333	73
1	1000	1000	100	LIFO	1276	73
1	1000	1000	333	Simple	1211	0
1	1000	1000	333	LRU	1505	264
1	1000	1000	333	LIFO	1348	262
1	1000	2500	25	Simple	3080	0
1	1000	2500	25	LRU	3137	70
1	1000	2500	25	LIFO	3107	67
1	1000	2500	250	Simple	3089	0
1	1000	2500	250	LRU	3614	601
1	1000	2500	250	LIFO	3307	600
1	1000	2500	833	Simple	3027	0
1	1000	2500	833	LRU	3923	1579
1	1000	2500	833	LIFO	3628	1579
2	25	100	1	Simple	4	0
2	25	100	1	LRU	4	7
2	25	100	1	LIFO	4	6
2	25	100	10	Simple	3	0
2	25	100	10	LRU	5	52
2	25	100	10	LIFO	4	48
2	25	100	33	Simple	4	0
2	25	100	33	LRU	5	75
